Год,Метка_норм,Показатель,Рассмотрено дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Средняя сумма штрафа (тыс. руб.)
2017,Нарушение права на образование и предусмотренных законодательством в области образования прав и свобод обучающихся и воспитанников образовательных организаций (5.57 КоАП),Нарушение права на образование и предусмотренных законодательством в области образования прав и свобод обучающихся и воспитанников образовательных организаций (5.57 КоАП),915,591,64.0,184,0.0,537,9913,0,0,0,0,0,17
2016,Нарушение порядка рассмотрения обращений граждан (5.59 КоАП),Нарушение порядка рассмотрения обращений граждан (5.59 КоАП),7741,6151,79.0,1056,0.0,6117,30786,0,0,0,0,0,5
2017,Нарушение порядка рассмотрения обращений граждан (5.59 КоАП),Нарушение порядка рассмотрения обращений граждан (5.59 КоАП),8037,6312,78.0,1089,0.0,6179,31330,0,0,0,0,0,5
2016,Оскорбление (5.61 КоАП),Оскорбление (5.61 КоАП),16684,14519,87.0,1066,0.0,14509,16530,0,0,0,0,0,1
2017,Оскорбление (5.61 КоАП),Оскорбление (5.61 КоАП),16667,14308,85.0,1065,0.0,14298,16669,0,0,0,0,0,1
2016,Дискриминация (5.62 КоАП),Дискриминация (5.62 КоАП),13,8,61.0,3,0.0,8,262,0,0,0,0,0,33
2017,Дискриминация (5.62 КоАП),Дискриминация (5.62 КоАП),24,14,58.0,7,0.0,8,303,0,0,0,0,0,22
2016,Нарушение законодательства об организации предоставления государственных и муниципальных услуг (5.63 КоАП),Нарушение законодательства об организации предоставления государственных и муниципальных услуг (5.63 КоАП),949,741,78.0,111,0.0,739,2092,0,0,0,0,0,3
2017,Нарушение законодательства об организации предоставления государственных и муниципальных услуг (5.63 КоАП),Нарушение законодательства об организации предоставления государственных и муниципальных услуг (5.63 КоАП),559,394,70.0,105,0.0,384,1252,0,0,0,0,0,3
2017,Нарушение порядка или срока представления сведений о поступлении и расходовании средств политической партии (5.64-5.68 КоАП),Нарушение порядка или срока представления сведений о поступлении и расходовании средств политической партии (5.64-5.68 КоАП),1733,1268,73.0,66,0.0,609,36583,0,0,0,0,0,29
2016,"Иные правонарушения, посягающие на права граждан (иные статьи главы 5 КоАП)","Иные правонарушения, посягающие на права граждан (иные статьи главы 5 КоАП)",59257,54994,92.0,710,0.0,1351,23202,7599,0,0,0,0,0
2017,"Иные правонарушения, посягающие на права граждан (иные статьи главы 5 КоАП)","Иные правонарушения, посягающие на права граждан (иные статьи главы 5 КоАП)",16075,14906,92.0,195,0.0,799,10714,1534,0,0,0,0,1
2016,ВСЕГО,"Всего правонарушений, посягающих на права граждан",96358,84828,88.0,3880,0.0,30690,199840,7599,209,1,24,3,2
2017,ВСЕГО,"Всего правонарушений, посягающих на права граждан",162579,147742,90.0,4578,0.0,31623,262640,9609,139,5,2,10,2
2016,"Сокрытие источника заражения ВИЧ-инфекцией, венерической болезнью и контактов, создающих опасность заражения (6.1 КоАП)","Сокрытие источника заражения ВИЧ-инфекцией, венерической болезнью и контактов, создающих опасность заражения (6.1 КоАП)",571,205,35.0,34,0.0,201,458,0,0,0,0,0,2
2017,"Сокрытие источника заражения ВИЧ-инфекцией, венерической болезнью и контактов, создающих опасность заражения (6.1 КоАП)","Сокрытие источника заражения ВИЧ-инфекцией, венерической болезнью и контактов, создающих опасность заражения (6.1 КоАП)",220,105,47.0,7,0.0,103,271,0,0,0,0,0,3
2017,Побои (6.1.1 КоАП),Побои (6.1.1 КоАП),160920,113437,70.0,11393,0.0,90020,487790,8850,0,0,0,0,4
2016,"Незаконное занятие частной медицинской практикой, частной фармацевтической деятельностью либо народной медициной (целительством) (6.2 КоАП)","Незаконное занятие частной медицинской практикой, частной фармацевтической деятельностью либо народной медициной (целительством) (6.2 КоАП)",18,10,55.0,0,0.0,10,22,0,0,0,0,0,2
2017,"Незаконное занятие частной медицинской практикой, частной фармацевтической деятельностью либо народной медициной (целительством) (6.2 КоАП)","Незаконное занятие частной медицинской практикой, частной фармацевтической деятельностью либо народной медициной (целительством) (6.2 КоАП)",19,14,73.0,0,0.0,13,32,0,0,0,0,0,2
2016,Нарушение законодательства в области обеспечения санитарно-эпидемиологического благополучия (6.3 - 6.6 КоАП),Нарушение законодательства в области обеспечения санитарно-эпидемиологического благополучия (6.3 - 6.6 КоАП),15429,12845,83.0,892,0.0,6995,72402,0,0,0,5458,0,6
2017,Нарушение законодательства в области обеспечения санитарно-эпидемиологического благополучия (6.3 - 6.6 КоАП),Нарушение законодательства в области обеспечения санитарно-эпидемиологического благополучия (6.3 - 6.6 КоАП),13838,11319,81.0,891,0.0,5925,64187,0,0,0,4996,0,6
2016,"Нарушение санитарно-эпидемиологических требований к условиям отдыха и оздоровления детей, их воспитания и обучения (6.7 КоАП)","Нарушение санитарно-эпидемиологических требований к условиям отдыха и оздоровления детей, их воспитания и обучения (6.7 КоАП)",139,65,46.0,26,0.0,45,1506,0,0,0,20,0,23
2017,"Нарушение санитарно-эпидемиологических требований к условиям отдыха и оздоровления детей, их воспитания и обучения (6.7 КоАП)","Нарушение санитарно-эпидемиологических требований к условиям отдыха и оздоровления детей, их воспитания и обучения (6.7 КоАП)",150,86,57.0,12,0.0,51,1399,0,0,0,33,0,16
2016,"Незаконный оборот наркотических средств, психотропных веществ или их аналогов (6.8 КоАП)","Незаконный оборот наркотических средств, психотропных веществ или их аналогов (6.8 КоАП)",15103,13508,89.0,106,0.0,9111,37519,4397,0,109,0,0,3
2017,"Незаконный оборот наркотических средств, психотропных веществ или их аналогов (6.8 КоАП)","Незаконный оборот наркотических средств, психотропных веществ или их аналогов (6.8 КоАП)",16125,14402,89.0,122,0.0,9673,40190,4729,0,116,0,1,3
2016,Потребление наркотических средств или психотропных веществ без назначения врача (6.9 КоАП),Потребление наркотических средств или психотропных веществ без назначения врача (6.9 КоАП),72536,64809,89.0,1289,0.0,37791,156368,27000,0,321,0,0,2
2017,Потребление наркотических средств или психотропных веществ без назначения врача (6.9 КоАП),Потребление наркотических средств или психотропных веществ без назначения врача (6.9 КоАП),83902,74406,88.0,1123,0.0,43040,176946,31365,0,370,0,0,2
2016,"Уклонение от прохождения диагностики, профилактических мероприятий, лечения в связи с потреблением наркотических средств (6.9.1 КоАП)","Уклонение от прохождения диагностики, профилактических мероприятий, лечения в связи с потреблением наркотических средств (6.9.1 КоАП)",8472,7765,91.0,163,0.0,4497,18580,3268,0,0,0,0,2
2017,"Уклонение от прохождения диагностики, профилактических мероприятий, лечения в связи с потреблением наркотических средств (6.9.1 КоАП)","Уклонение от прохождения диагностики, профилактических мероприятий, лечения в связи с потреблением наркотических средств (6.9.1 КоАП)",18703,16884,90.0,331,0.0,8697,36494,8186,0,0,0,0,2
2016,Занятие проституцией (6.11 КоАП),Занятие проституцией (6.11 КоАП),11347,9592,84.0,120,0.0,9591,15582,0,0,0,0,0,2
2017,Занятие проституцией (6.11 КоАП),Занятие проституцией (6.11 КоАП),9988,8207,82.0,103,0.0,8207,13583,0,0,0,0,0,2
2016,"Получение дохода от занятия проституцией, если этот доход связан с занятием другого лица проституцией (6.12 КоАП)","Получение дохода от занятия проституцией, если этот доход связан с занятием другого лица проституцией (6.12 КоАП)",311,208,66.0,5,0.0,197,410,11,0,0,0,0,2
2017,"Получение дохода от занятия проституцией, если этот доход связан с занятием другого лица проституцией (6.12 КоАП)","Получение дохода от занятия проституцией, если этот доход связан с занятием другого лица проституцией (6.12 КоАП)",229,149,65.0,7,0.0,143,315,6,0,0,0,0,2
2016,"Пропаганда наркотических средств, психотропных веществ или их прекурсоров (6.13 КоАП)","Пропаганда наркотических средств, психотропных веществ или их прекурсоров (6.13 КоАП)",136,88,64.0,7,0.0,82,4597,0,0,0,5,31,52
2017,"Пропаганда наркотических средств, психотропных веществ или их прекурсоров (6.13 КоАП)","Пропаганда наркотических средств, психотропных веществ или их прекурсоров (6.13 КоАП)",173,115,66.0,13,0.0,111,2372,0,0,1,3,33,21
2016,"Нарушение правил оборота инструментов или оборудования, используемых для изготовления наркотических и психотропных веществ (6.15 КоАП)","Нарушение правил оборота инструментов или оборудования, используемых для изготовления наркотических и психотропных веществ (6.15 КоАП)",1,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2017,"Нарушение правил оборота инструментов или оборудования, используемых для изготовления наркотических и психотропных веществ (6.15 КоАП)","Нарушение правил оборота инструментов или оборудования, используемых для изготовления наркотических и психотропных веществ (6.15 КоАП)",0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2016,"Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров (6.16 КоАП)","Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров (6.16 КоАП)",853,566,66.0,142,0.0,417,30947,0,0,0,133,14,55
2017,"Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров (6.16 КоАП)","Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров (6.16 КоАП)",1320,791,59.0,222,0.0,564,42533,0,0,0,98,9,54
