Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Отклонено,Доля удовлетворенных,Доля отклоненных
2016,О возобновлении производства в виду новых или вновь открывшихся обстоятельств,О возобновлении производства в виду новых или вновь открывшихся обстоятельств,37,11,7,29.0,18.0
2017,О возобновлении производства в виду новых или вновь открывшихся обстоятельств,О возобновлении производства в виду новых или вновь открывшихся обстоятельств,30,8,2,26.0,6.0
2016,Об изменении территориальной подсудности,Об изменении территориальной подсудности,2372,1978,105,83.0,4.0
2017,Об изменении территориальной подсудности,Об изменении территориальной подсудности,11688,10300,130,88.0,1.0
2016,Об обжаловании отказа прокурора в возобновлении производства по делу ввиду новых или вновь открывшихся обстоятельств,Об обжаловании отказа прокурора в возобновлении производства по делу ввиду новых или вновь открывшихся обстоятельств,5,3,0,60.0,0.0
2017,Об обжаловании отказа прокурора в возобновлении производства по делу ввиду новых или вновь открывшихся обстоятельств,Об обжаловании отказа прокурора в возобновлении производства по делу ввиду новых или вновь открывшихся обстоятельств,2,0,1,0.0,50.0
2016,О вскрытии нерозданных почтовых отправлений,О вскрытии нерозданных почтовых отправлений,695,685,1,98.0,0.0
2017,О вскрытии нерозданных почтовых отправлений,О вскрытии нерозданных почтовых отправлений,2917,2818,78,96.0,2.0
2016,"О заключении под стражу осужденного к лишению свободы, уклоняющегося от прибытия в колонию-поселение для отбывания наказания","О заключении под стражу осужденного к лишению свободы, уклоняющегося от прибытия в колонию-поселение для отбывания наказания",2126,1821,197,85.0,9.0
2017,"О заключении под стражу осужденного к лишению свободы, уклоняющегося от прибытия в колонию-поселение для отбывания наказания","О заключении под стражу осужденного к лишению свободы, уклоняющегося от прибытия в колонию-поселение для отбывания наказания",3273,3044,129,93.0,3.0
2016,О замене ограничения свободы лишением свободы,О замене ограничения свободы лишением свободы,3689,2142,968,58.0,26.0
2017,О замене ограничения свободы лишением свободы,О замене ограничения свободы лишением свободы,4184,2278,1115,54.0,26.0
2016,Об отмене установленных осужденному ограничений к наказанию в виде ограничения свободы,Об отмене установленных осужденному ограничений к наказанию в виде ограничения свободы,891,721,95,80.0,10.0
2017,Об отмене установленных осужденному ограничений к наказанию в виде ограничения свободы,Об отмене установленных осужденному ограничений к наказанию в виде ограничения свободы,1126,875,153,77.0,13.0
2016,О замене принудительных работ лишением свободы,О замене принудительных работ лишением свободы,0,0,0,0.0,0.0
2017,О замене принудительных работ лишением свободы,О замене принудительных работ лишением свободы,80,34,31,42.0,38.0
2016,О замене наказания в виде лишения свободы принудительными работами,О замене наказания в виде лишения свободы принудительными работами,0,0,0,0.0,0.0
2017,О замене наказания в виде лишения свободы принудительными работами,О замене наказания в виде лишения свободы принудительными работами,54,5,18,9.0,33.0
2016,Об отмене отсрочки отбывания наказания в виде лишения свободы осужденному до окончания лечения наркомании и медико-социальной реабилитации в связи с отказом и уклонением от лечения,Об отмене отсрочки отбывания наказания в виде лишения свободы осужденному до окончания лечения наркомании и медико-социальной реабилитации в связи с отказом и уклонением от лечения,72,31,30,43.0,41.0
2017,Об отмене отсрочки отбывания наказания в виде лишения свободы осужденному до окончания лечения наркомании и медико-социальной реабилитации в связи с отказом и уклонением от лечения,Об отмене отсрочки отбывания наказания в виде лишения свободы осужденному до окончания лечения наркомании и медико-социальной реабилитации в связи с отказом и уклонением от лечения,74,35,20,47.0,27.0
2016,"Об освобождении от отбывания наказания осужденного, признанного больным наркоманией после прохождения курса лечения и медико-социальной реабилитации","Об освобождении от отбывания наказания осужденного, признанного больным наркоманией после прохождения курса лечения и медико-социальной реабилитации",25,18,3,72.0,12.0
2017,"Об освобождении от отбывания наказания осужденного, признанного больным наркоманией после прохождения курса лечения и медико-социальной реабилитации","Об освобождении от отбывания наказания осужденного, признанного больным наркоманией после прохождения курса лечения и медико-социальной реабилитации",61,40,9,65.0,14.0
2016,Применение отсрочки отбывания наказания в виде лишения свободы до окончания лечения наркомании и медико-социальной реабилитации,Применение отсрочки отбывания наказания в виде лишения свободы до окончания лечения наркомании и медико-социальной реабилитации,36,3,12,8.0,33.0
2017,Применение отсрочки отбывания наказания в виде лишения свободы до окончания лечения наркомании и медико-социальной реабилитации,Применение отсрочки отбывания наказания в виде лишения свободы до окончания лечения наркомании и медико-социальной реабилитации,37,9,10,24.0,27.0
2016,"О переводе лица, содержащегося под стражей, в психиатрический стационар","О переводе лица, содержащегося под стражей, в психиатрический стационар",608,556,19,91.0,3.0
2017,"О переводе лица, содержащегося под стражей, в психиатрический стационар","О переводе лица, содержащегося под стражей, в психиатрический стационар",630,578,12,91.0,1.0
2017,Об отмене постановления о прекращении уголовного дела или уголовного преследования и назначенного судебного штрафа,Об отмене постановления о прекращении уголовного дела или уголовного преследования и назначенного судебного штрафа,600,327,104,54.0,17.0
2016,Иные в порядке судебного контроля в порядке уголовного судопроизводства,Иные в порядке судебного контроля в порядке уголовного судопроизводства,52168,45968,3215,88.0,6.0
2017,Иные в порядке судебного контроля в порядке уголовного судопроизводства,Иные в порядке судебного контроля в порядке уголовного судопроизводства,19024,17299,1113,90.0,5.0
2016,Иные в порядке исполнения приговоров и иных судебных актов в порядке уголовного судопроизводства,Иные в порядке исполнения приговоров и иных судебных актов в порядке уголовного судопроизводства,109275,73257,14934,67.0,13.0
