Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2019,Иски о привлечении к административной ответственности недобросовестную конкуренции,Иски о привлечении к административной ответственности недобросовестную конкуренции,81,67,82.0,2215,0.0,33
2020,Иски о привлечении к административной ответственности недобросовестную конкуренции,Иски о привлечении к административной ответственности недобросовестную конкуренции,46,38,82.0,1023,0.0,27
2022,"Иски о привлечении к административной ответственности за нарушения, связанные с банкротством","Иски о привлечении к административной ответственности за нарушения, связанные с банкротством",8956,5348,59.0,28404,0.0,5
2023,"Иски о привлечении к административной ответственности за нарушения, связанные с банкротством","Иски о привлечении к административной ответственности за нарушения, связанные с банкротством",8780,3547,40.0,26638,0.0,8
2024,Оспаривание решений органов земельного контроля о привлечении к административной ответственности,Оспаривание решений органов земельного контроля о привлечении к административной ответственности,47,23,48.0,0,0.0,0
2021,Иски о привлечении к административной ответственности в сфере оборота алкогольной продукции,Иски о привлечении к административной ответственности в сфере оборота алкогольной продукции,7969,7000,87.0,2597869,0.0,371
2018,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,11,10,90.9,34,0.0,3
2019,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,14,10,71.0,23,0.0,2
2020,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,8,8,100.0,10,0.0,1
2022,Иски о привлечении к административной ответственности в сфере строительства,Иски о привлечении к административной ответственности в сфере строительства,1842,1423,77.0,92869,0.0,65
2023,Иски о привлечении к административной ответственности в сфере строительства,Иски о привлечении к административной ответственности в сфере строительства,853,125,15.0,64921,0.0,519
2024,Оспаривание решений природоохранных органов о привлечении к административной ответственности,Оспаривание решений природоохранных органов о привлечении к административной ответственности,108,41,37.0,0,0.0,0
2021,Иски о привлечении к административной ответственности за осуществление предпринимательской деятельности без государственной регистрации или лицензии,Иски о привлечении к административной ответственности за осуществление предпринимательской деятельности без государственной регистрации или лицензии,14559,10777,74.0,206221,0.0,19
2018,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,1855,1621,87.4,502,0.0,0
2019,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,1618,1541,95.0,579,0.0,0
2020,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,1594,1183,74.0,0,0.0,0
2022,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,0,0,0.0,0,0.0,0
2023,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,2,0,0.0,5125,0.0,0
2024,Оспаривание решений органов регулирования финансовых рынков о привлечении к административной ответственности,Оспаривание решений органов регулирования финансовых рынков о привлечении к административной ответственности,61,16,26.0,0,0.0,0
2021,Иски о привлечении к административной ответственности за незаконное использование товарного знака,Иски о привлечении к административной ответственности за незаконное использование товарного знака,4635,3703,79.0,66566,0.0,18
2018,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,463168,426642,92.1,1111448,60.1,3
2019,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,367376,320922,87.0,1062071,45.0,3
2020,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,88582,75153,84.0,2232405,82.0,30
2022,Иски о привлечении к административной ответственности недобросовестную конкуренции,Иски о привлечении к административной ответственности недобросовестную конкуренции,16,11,68.0,194,0.0,17
2023,Иски о привлечении к административной ответственности недобросовестную конкуренции,Иски о привлечении к административной ответственности недобросовестную конкуренции,9,2,22.0,297,0.0,149
2024,Оспаривание решений органов финансово-бюджетного контроля о привлечении к административной ответственности,Оспаривание решений органов финансово-бюджетного контроля о привлечении к административной ответственности,63,29,46.0,0,0.0,0
2021,"Иски о привлечении к административной ответственности за нарушения, связанные с банкротством","Иски о привлечении к административной ответственности за нарушения, связанные с банкротством",7843,5023,64.0,69347,0.0,14
2018,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,15929,13692,86.0,1626097,91.9,119
2019,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,22201,16697,75.0,96772,27.0,5
2020,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,25859,20601,79.0,113537,1.0,6
2022,Иски о взыскании с организаций и граждан обязательных платежей и санкций,Иски о взыскании с организаций и граждан обязательных платежей и санкций,180316,156990,87.0,1154996,17.0,7
2023,Иски о взыскании с организаций и граждан обязательных платежей и санкций,Иски о взыскании с организаций и граждан обязательных платежей и санкций,211968,13298,6.0,2856995,65.0,215
2024,Оспаривание решений судебных приставов-исполнителей о привлечении к административной ответственности,Оспаривание решений судебных приставов-исполнителей о привлечении к административной ответственности,1806,508,28.0,0,0.0,0
2021,Иски о привлечении к административной ответственности в сфере строительства,Иски о привлечении к административной ответственности в сфере строительства,3712,2926,78.0,178213,0.0,61
2018,Иные экономические споры,Иные экономические споры,16773,10789,64.3,9593756,35.0,889
2019,Иные экономические споры,Иные экономические споры,25019,17669,70.0,8923886,23.0,505
2020,Иные экономические споры,Иные экономические споры,17258,11122,64.0,1864339051,98.0,167626
2022,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,166626,145700,87.0,725661,24.0,4
2023,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,198784,12235,6.0,1949029,62.0,159
2024,Оспаривание решений налоговых органов о привлечении к административной ответственности,Оспаривание решений налоговых органов о привлечении к административной ответственности,8,3,37.0,0,0.0,0
2021,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,8,5,62.0,180,0.0,36
2018,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",1013,433,42.7,0,0.0,0
2019,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",1038,430,41.0,0,0.0,0
2020,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",985,430,43.0,0,0.0,0
2022,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,12018,10451,86.0,70741,19.0,6
2023,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,7752,628,8.0,243513,50.0,388
2024,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,31111,22216,71.0,999835,0.0,45
2021,Иски о привлечении к административной ответственности недобросовестную конкуренции,Иски о привлечении к административной ответственности недобросовестную конкуренции,29,20,69.0,595,0.0,30
2018,Споры о несостоятельности (банкротстве),Споры о несостоятельности (банкротстве),0,0,0.0,0,0.0,0
2019,Споры о несостоятельности (банкротстве),Споры о несостоятельности (банкротстве),0,0,0.0,0,0.0,0
2020,Споры о несостоятельности (банкротстве),Споры о несостоятельности (банкротстве),0,0,0.0,0,0.0,0
2022,Взыскание обязательных платежей по заявлениям ФОМС,Взыскание обязательных платежей по заявлениям ФОМС,6,3,50.0,23968,83.0,7989
2023,Взыскание обязательных платежей по заявлениям ФОМС,Взыскание обязательных платежей по заявлениям ФОМС,26,2,8.0,4523,3.0,2262
2024,Иски о привлечении к административной ответственности в сфере оборота алкогольной продукции,Иски о привлечении к административной ответственности в сфере оборота алкогольной продукции,5767,5007,86.0,692148,0.0,138
2021,Иски о взыскании с организаций и граждан обязательных платежей и санкций,Иски о взыскании с организаций и граждан обязательных платежей и санкций,141716,124427,87.0,2181879,2.0,18
2018,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,256,78,30.5,70058,91.3,898
2019,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,82,27,32.0,0,0.0,0
2020,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,82,19,23.0,0,0.0,0
2022,Иные экономические споры,Иные экономические споры,18656,12044,64.0,56363078,38.0,4679
2023,Иные экономические споры,Иные экономические споры,17749,2718,15.0,10526258,19.0,3873
2024,Иски о привлечении к административной ответственности за осуществление предпринимательской деятельности без государственной регистрации или лицензии,Иски о привлечении к административной ответственности за осуществление предпринимательской деятельности без государственной регистрации или лицензии,5858,4569,77.0,37327,0.0,8
2021,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,121919,108730,89.0,1659261,13.0,15
2018,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,1770,1215,68.6,1936392,63.9,1594
2019,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,887,646,72.0,247389,48.0,383
2020,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,725,493,68.0,3460760,97.0,7020
2022,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",997,501,50.0,0,0.0,0
2023,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",1039,107,10.0,0,0.0,0
2024,Иски о привлечении к административной ответственности за незаконное использование товарного знака,Иски о привлечении к административной ответственности за незаконное использование товарного знака,1744,1390,79.0,20552,0.0,14
2021,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,19084,15221,79.0,96721,0.0,6
2018,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,235,147,62.6,1073031,71.1,7300
2019,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,233,139,59.0,682397,80.0,4909
2020,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,239,152,63.0,692630,99.0,4557
2022,Споры о несостоятельности (банкротстве) юридических лиц,Споры о несостоятельности (банкротстве) юридических лиц,243435,206214,84.0,0,0.0,0
2023,Споры о несостоятельности (банкротстве) юридических лиц,Споры о несостоятельности (банкротстве) юридических лиц,337508,359,0.0,0,0.0,0
2024,"Иски о привлечении к административной ответственности за нарушения, связанные с банкротством","Иски о привлечении к административной ответственности за нарушения, связанные с банкротством",8265,4751,57.0,19793,0.0,4
2021,Взыскание обязательных платежей по заявлениям ФОМС,Взыскание обязательных платежей по заявлениям ФОМС,1,1,100.0,0,0.0,0
2018,Споры с участием иностранных лиц,Споры с участием иностранных лиц,10923,10086,92.3,55740187,77.7,5526
2019,Споры с участием иностранных лиц,Споры с участием иностранных лиц,5882,4966,84.0,16627124,40.0,3348
2020,Споры с участием иностранных лиц,Споры с участием иностранных лиц,10672,9442,88.0,39621917,51.0,4196
2022,Споры о несостоятельности (банкротстве) физических лиц,Споры о несостоятельности (банкротстве) физических лиц,201334,184391,91.0,0,0.0,0
2023,Споры о несостоятельности (банкротстве) физических лиц,Споры о несостоятельности (банкротстве) физических лиц,292708,31,0.0,0,0.0,0
2024,Иски о привлечении к административной ответственности в сфере строительства,Иски о привлечении к административной ответственности в сфере строительства,1315,1084,82.0,70208,0.0,64
2021,Иные экономические споры,Иные экономические споры,18531,12115,65.0,18821168,37.0,1554
2018,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,8996,8705,96.8,4165138,70.6,478
2019,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,3699,3385,91.0,2015314,44.0,595
2020,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,6604,6315,95.0,3290528,51.0,521
2022,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,93,17,18.0,11247,999.9,661
2023,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,111,45,41.0,0,0.0,0
2024,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,Иски о привлечении к административной ответственности за злоупотребление доминирующим положением на товарном рынке,3,3,100.0,14420,0.0,4806
2021,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",1089,532,48.0,0,0.0,0
2018,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",4,4,100.0,2233,74.0,558
2019,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",2,2,100.0,4300,100.0,2150
2020,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",10,9,90.0,2356,99.0,262
2022,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,980,800,81.0,389589,76.0,486
2023,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,1044,64,6.0,480763,16.0,7512
2024,Иски о привлечении к административной ответственности недобросовестную конкуренции,Иски о привлечении к административной ответственности недобросовестную конкуренции,11,6,54.0,12001,0.0,2000
2021,Споры о несостоятельности (банкротстве),Споры о несостоятельности (банкротстве),189267,143800,76.0,0,0.0,0
2018,Споры с участием прокуроров,Споры с участием прокуроров,6515,5427,83.3,172998,17.5,32
2019,Споры с участием прокуроров,Споры с участием прокуроров,6374,5289,83.0,1189574,88.0,224
2020,Споры с участием прокуроров,Споры с участием прокуроров,5396,4364,80.0,209612,17.0,48
2022,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,209,130,62.0,1862,3.0,14
2023,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,183,47,26.0,9148,35.0,195
2024,Иски о взыскании с организаций и граждан обязательных платежей и санкций,Иски о взыскании с организаций и граждан обязательных платежей и санкций,178060,158726,89.0,834207,10.0,5
2021,Споры о несостоятельности (банкротстве) физических лиц,Споры о несостоятельности (банкротстве) физических лиц,127515,115337,90.0,0,0.0,0
2018,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,15042,4908,32.6,2228889,42.4,454
2019,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,15332,4684,30.0,1693031,23.0,361
2020,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,13948,4286,30.0,1883042,32.0,439
2022,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,34,0,0.0,90,0.0,0
2023,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,37,20,54.0,150199,195.0,7510
2024,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,163712,145970,89.0,484014,7.0,3
2021,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,71,10,14.0,0,0.0,0
2018,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,23,8,34.8,106,59.2,13
2019,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,57,29,50.0,30820,4.0,1062
2020,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,49,23,46.0,24322,36.0,1057
2022,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,192,139,72.0,117181,2.0,843
2023,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,120,29,24.0,84017,89.0,2897
2024,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,5019,4562,90.0,54633,26.0,11
2021,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,865,684,79.0,356528,83.0,521
2018,Споры в сфере государственных закупок,Споры в сфере государственных закупок,14726,12655,85.9,6784007,35.7,536
2019,Споры в сфере государственных закупок,Споры в сфере государственных закупок,12110,10184,84.0,7320361,36.0,718
2020,Споры в сфере государственных закупок,Споры в сфере государственных закупок,13510,11626,86.0,6761976,44.0,582
2022,ВСЕГО,Всего по делам по интеллектуальным спорам,40414,31412,77.0,4168186,7.0,132
2023,ВСЕГО,Всего по делам по интеллектуальным спорам,49566,2188,4.0,7055198,22.0,3224
2024,Взыскание обязательных платежей по заявлениям ФОМС,Взыскание обязательных платежей по заявлениям ФОМС,27,18,66.0,16894,5.0,938
2021,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,278,173,62.0,53099,41.0,307
2018,ВСЕГО,Всего споров,1848113,1431994,77.5,1968847722,33.5,1375
2019,ВСЕГО,Всего споров,1793050,1358607,75.0,1786346288,31.0,1314
2020,ВСЕГО,Всего споров,1406020,1037431,73.0,2147483647,48.0,3087
2022,Споры с участием иностранных лиц,Споры с участием иностранных лиц,15040,13032,86.0,492270393,999.9,37773
2023,Споры с участием иностранных лиц,Споры с участием иностранных лиц,24587,397,2.0,165908790,86.0,417906
2024,Иные экономические споры,Иные экономические споры,20146,11980,59.0,16932601,3.0,1413
2021,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,31,3,9.0,65050,3.0,21683
2022,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,7517,7172,95.0,3362923,77.0,468
2023,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,19189,117,1.0,156566451,94.0,1338175
2024,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",929,478,51.0,0,0.0,0
2021,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,191,138,72.0,4104253,16.0,29741
2022,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",5,5,100.0,812,96.0,162
2023,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",123,9,7.0,566136,24.0,62904
2024,Споры о несостоятельности (банкротстве),Споры о несостоятельности (банкротстве),407151,340677,83.0,0,0.0,0
2021,ВСЕГО,Всего по делам по интеллектуальным спорам,30876,23683,76.0,4749351,2.0,201
2022,Споры с участием прокуроров,Споры с участием прокуроров,6100,3958,64.0,819932,32.0,207
2023,Споры с участием прокуроров,Споры с участием прокуроров,4563,671,15.0,1831689,26.0,2730
2024,Споры о несостоятельности (банкротстве) физических лиц,Споры о несостоятельности (банкротстве) физических лиц,346894,320162,92.0,0,0.0,0
2021,Споры с участием иностранных лиц,Споры с участием иностранных лиц,13978,12583,90.0,14858455,19.0,1181
2022,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,12303,3995,32.0,386721,26.0,96
2023,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,12758,4600,36.0,480805,38.0,105
2024,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,106,29,27.0,0,0.0,0
2021,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,8916,8602,96.0,2191955,8.0,255
2022,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,61,40,65.0,40613,0.0,1015
2023,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,129,13,10.0,63989,204.0,4922
2024,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,1111,892,80.0,615796,72.0,690
2021,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",3,3,100.0,12152,100.0,4051
2022,ВСЕГО,Всего споров,1702816,1296091,76.0,1885417414,38.0,1454
2023,ВСЕГО,Всего споров,1776434,160183,9.0,2022379123,36.0,12625
2024,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,150,85,56.0,11259,0.0,132
2021,Споры с участием прокуроров,Споры с участием прокуроров,5857,4703,80.0,146467451,100.0,31143
2024,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,Споры о присуждении компенсации за нарушение права на судопроизводство в разумные сроки,32,6,18.0,100,0.0,16
2021,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,10979,3794,34.0,873853,43.0,230
2024,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,Споры о присуждении компенсации за нарушение права на исполнение судебного акта в разумные сроки,149,126,84.0,41458,100.0,329
2021,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,54,26,48.0,68754,26.0,2644
2024,ВСЕГО ДЕЛ,ВСЕГО ДЕЛ,1823073,1421529,77.0,2147483647,12.0,3618
2021,ВСЕГО,Всего споров,1633484,1224246,74.0,1621693839,4.0,1325
2024,ВСЕГО,Всего дел в порядке искового производства,1100934,859822,78.0,2147483647,12.0,5961
2024,ВСЕГО,Всего дел в порядке административного судопроизводства,269757,194346,72.0,15865073,41.0,81
2024,ВСЕГО,Всего дел в порядке особого производства,953,496,52.0,540,593.0,1
2024,ВСЕГО,Всего дел приказного производства,311208,311126,99.0,17706604,4.0,56
2024,ВСЕГО,Всего рассмотрено в упрощенном порядке,510730,405678,79.0,89534552,13.0,220
2024,Споры с участием иностранных лиц,Споры с участием иностранных лиц,13913,1527,10.0,29885,25.0,19
2024,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,9930,107,1.0,26014,67.0,243
2024,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",2,0,0.0,0,0.0,0
2024,Споры с участием прокуроров,Споры с участием прокуроров,4860,3464,71.0,397085424,95.0,114632
2024,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,15808,5999,37.0,584597,50.0,97
2024,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,33,22,66.0,9106,3.0,413
