Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2023,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,632,208,33.0,1032,12.0,5
2024,Споры о государственной регистрации юридических лиц и индивидуальных предпринимателей,Споры о государственной регистрации юридических лиц и индивидуальных предпринимателей,2532,1033,40.0,3502,25.0,3
2021,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,350,81,23.0,0,0.0,0
2018,Иски о возмещении НДС,Иски о возмещении НДС,324,131,40.4,29351,20.9,224
2019,Иски о возмещении НДС,Иски о возмещении НДС,192,67,34.0,4031,4.0,60
2020,Иски о взыскании обязательных платежей и санкций,Иски о взыскании обязательных платежей и санкций,37309,6963,18.0,3471487,33.0,499
2022,Иски об уклонении от государственной регистрации прав на недвижимость,Иски об уклонении от государственной регистрации прав на недвижимость,107,38,35.0,6,9.0,0
2023,Иски об уклонении от государственной регистрации прав на недвижимость,Иски об уклонении от государственной регистрации прав на недвижимость,78,21,27.0,306,0.0,15
2024,Иски о признании недействительной государственной регистрации юрлиц и ИП,Иски о признании недействительной государственной регистрации юрлиц и ИП,571,215,37.0,1767,999.9,8
2021,Иски об уклонении от государственной регистрации юрлиц и ИП,Иски об уклонении от государственной регистрации юрлиц и ИП,30,11,36.0,5,100.0,0
2018,Иски о взыскании обязательных платежей и санкций,Иски о взыскании обязательных платежей и санкций,25607,3117,12.2,5517071,37.7,1770
2019,Иски о взыскании обязательных платежей и санкций,Иски о взыскании обязательных платежей и санкций,31067,19020,61.0,10096680,63.0,530
2020,Иски о возврате из бюджета налогов и сборов,Иски о возврате из бюджета налогов и сборов,587,182,31.0,38429,1.0,211
2022,Налоговые споры,Налоговые споры,23989,5794,24.0,7602792,42.0,1312
2023,Налоговые споры,Налоговые споры,16401,10954,67.0,5462439,68.0,499
