Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2016,"Дела о взыскании невыплаченной заработной платы, других выплат","Дела о взыскании невыплаченной заработной платы, других выплат",469490,457451,97.0,12039,2.0,20325,376119,80.0,19160714,42
2017,Дела о взыскании заработной платы в случае введения процедур банкротства,Дела о взыскании заработной платы в случае введения процедур банкротства,6524,6393,98.0,131,2.0,50,4317,66.0,517582,81
2016,Дела о взыскании заработной платы в случае введения процедур банкротства,Дела о взыскании заработной платы в случае введения процедур банкротства,5369,5232,97.0,137,2.0,115,2991,55.0,376078,72
2017,"Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе","Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе",6794,6692,98.0,102,1.0,21,6519,96.0,121823,18
2016,"Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе","Дела о взыскании невыплаченной заработной платы лиц, находящихся на государственной (муниципальной) службе",2751,2562,93.0,189,6.0,49,2251,81.0,76144,30
2017,Иные дела об оплате труда,Иные дела об оплате труда,25160,22364,88.0,2796,11.0,1236,16821,66.0,701948,31
2016,Иные дела об оплате труда,Иные дела об оплате труда,23611,20832,88.0,2779,11.0,1709,11669,49.0,898998,43
2016,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,47,34,72.0,13,27.0,7,8,17.0,1748,51
2017,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,Дела о признании забастовок незаконными и возмещении причиненного ими ущерба,37,25,67.0,12,32.0,4,0,0.0,2493,100
2016,"Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей",1541,1252,81.0,289,18.0,162,28,1.0,251643,201
2017,"Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работников о возмещении ущерба, причиненного при исполнении трудовых обязанностей",1764,1393,79.0,371,21.0,190,278,15.0,152828,110
2016,"Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей",7534,5907,78.0,1627,21.0,780,2,0.0,1213642,205
2017,"Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей","Иски работодателей о возмещении ущерба, причиненного при исполнении трудовых обязанностей",7183,5456,76.0,1727,24.0,795,9,0.0,872261,160
2016,Иные споры об имущественной ответственности сторон трудового договора,Иные споры об имущественной ответственности сторон трудового договора,1174,936,79.0,238,20.0,143,1,0.0,125610,134
2017,Иные споры об имущественной ответственности сторон трудового договора,Иные споры об имущественной ответственности сторон трудового договора,1216,979,80.0,237,19.0,127,13,1.0,135800,139
2016,"Иски служащих о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе","Иски служащих о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе",74,47,63.0,27,36.0,5,0,0.0,4417,94
2017,"Иски служащих о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе","Иски служащих о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе",103,70,68.0,33,32.0,6,26,25.0,10742,153
2016,"Иски нанимателей о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе","Иски нанимателей о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе",234,175,74.0,59,25.0,16,0,0.0,32290,185
2017,"Иски нанимателей о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе","Иски нанимателей о возмещении ущерба, причиненного при исполнении обязанностей по государственной (муниципальной) службе",496,320,64.0,176,35.0,42,2,0.0,298196,932
2016,"Иные споры,вытекающие из отношений по государственной (муниципальной) службе","Иные споры,вытекающие из отношений по государственной (муниципальной) службе",580,378,65.0,202,34.0,91,62,10.0,91112,241
2017,"Иные споры,вытекающие из отношений по государственной (муниципальной) службе","Иные споры,вытекающие из отношений по государственной (муниципальной) службе",897,506,56.0,391,43.0,136,10,1.0,46794,92
2016,"Трудовые споры, связанные с защитой персональных данных работника","Трудовые споры, связанные с защитой персональных данных работника",38,27,71.0,11,28.0,95,0,0.0,51,2
2017,"Трудовые споры, связанные с защитой персональных данных работника","Трудовые споры, связанные с защитой персональных данных работника",33,18,54.0,15,45.0,5,0,0.0,850,47
2016,О взыскании излишне удержанных из заработной платы сумм налога,О взыскании излишне удержанных из заработной платы сумм налога,216,147,68.0,69,31.0,4,1,0.0,1951,13
2017,О взыскании излишне удержанных из заработной платы сумм налога,О взыскании излишне удержанных из заработной платы сумм налога,294,268,91.0,26,8.0,7,199,67.0,10577,39
2017,О лишении права заниматься нотариальной деятельностью,О лишении права заниматься нотариальной деятельностью,5,1,20.0,4,80.0,2,0,0.0,0,0
2016,"О предоставлении предусмотренных трудовым законодательством гарантий и компенсаций женщинам, лицам с семейными обязанностями","О предоставлении предусмотренных трудовым законодательством гарантий и компенсаций женщинам, лицам с семейными обязанностями",584,515,88.0,69,11.0,63,2,0.0,26012,51
2017,"О предоставлении предусмотренных трудовым законодательством гарантий и компенсаций женщинам, лицам с семейными обязанностями","О предоставлении предусмотренных трудовым законодательством гарантий и компенсаций женщинам, лицам с семейными обязанностями",359,330,91.0,29,8.0,24,1,0.0,20589,62
2016,О предоставлении предусмотренных трудовым законодательством несовершеннолетним,О предоставлении предусмотренных трудовым законодательством несовершеннолетним,39,39,100.0,0,0.0,4,1,2.0,6145,158
2017,О предоставлении предусмотренных трудовым законодательством несовершеннолетним,О предоставлении предусмотренных трудовым законодательством несовершеннолетним,56,54,96.0,2,3.0,35,0,0.0,1180,22
2016,О предоставлении предусмотренных трудовым законодательством работающим в районах Крайнего Севера и приравненных к ним местностях,О предоставлении предусмотренных трудовым законодательством работающим в районах Крайнего Севера и приравненных к ним местностях,1417,1287,90.0,130,9.0,95,10,0.0,36714,29
2017,О предоставлении предусмотренных трудовым законодательством работающим в районах Крайнего Севера и приравненных к ним местностях,О предоставлении предусмотренных трудовым законодательством работающим в районах Крайнего Севера и приравненных к ним местностях,1187,1062,89.0,125,10.0,76,5,0.0,26890,25
2016,О предоставлении предусмотренных трудовым законодательством спортсменам и тренерам,О предоставлении предусмотренных трудовым законодательством спортсменам и тренерам,0,0,0.0,0,0.0,0,0,0.0,0,0
2017,О предоставлении предусмотренных трудовым законодательством спортсменам и тренерам,О предоставлении предусмотренных трудовым законодательством спортсменам и тренерам,6,5,83.0,1,16.0,0,0,0.0,263,53
