Год,Метка_норм,Административный истец,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2018,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",184247,178644,97.0,5603,3.0,0,148852,80.8,2791501,16
2020,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",505542,487302,96.0,18240,3.0,0,461699,91.0,46344049,95
2022,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",168651,151079,89.0,17572,10.0,1,128489,76.0,2524201,16
2021,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",209255,198828,95.0,10427,5.0,1,174332,83.0,4061697,20
2023,Должностное лицо,Должностное лицо,98897,97204,98.0,1693,2.0,2700,0,0.0,5830,0
2019,Должностное лицо,Должностное лицо,98422,97224,98.0,1198,1.0,4239,5082,5.0,76751,0
2024,Должностное лицо,Должностное лицо,86627,84737,97.0,1890,2.0,1918,580,0.0,15745,0
2018,Должностное лицо,Должностное лицо,76371,75406,98.7,965,1.3,3381,11761,15.4,143039,2
2020,Должностное лицо,Должностное лицо,115648,113699,98.0,1949,1.0,5742,5375,4.0,3066,0
2022,Должностное лицо,Должностное лицо,117419,115769,98.0,1650,1.0,3023,0,0.0,2985,0
2021,Должностное лицо,Должностное лицо,131208,129726,98.0,1482,1.0,3320,0,0.0,3396,0
