Год,Метка_норм,Показатель,Осуждено
2018,Дело прекращено по иные основания,Дело прекращено по иные основания,45861
2020,Дело прекращено по иные основания,Дело прекращено по иные основания,72466
2022,Дело прекращено по иные основания,Дело прекращено по иные основания,37617
2021,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,3807
2023,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,15061
2019,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,65269
2024,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,0
2018,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,20911
2020,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,41505
2022,Назначен судебный штраф при освобождении от уголовной ответственности,Назначен судебный штраф при освобождении от уголовной ответственности,5607
2021,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,560431
2023,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,272861
2019,Сумма назначенного судом судебного штрафа (в руб.) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (в руб.) по прекращенным уголовным делам,783917423
2024,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,0
2018,Сумма назначенного судом судебного штрафа (в руб.) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (в руб.) по прекращенным уголовным делам,529990656
2020,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,828761
2022,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,Сумма назначенного судом судебного штрафа (тысяч рублей) по прекращенным уголовным делам,312395
