Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2016,"136 ч.2,","Статья 136 часть 2,",0,0,0,0,0,0,0,0,0
2017,"136 ч.2,","Статья 136 часть 2,",0,0,0,0,0,0,0,0,0
2016,137 ч.1,Статья 137 часть 1 УК РФ,58,1,1,2,0,20,6,20,0
2017,137 ч.1,Статья 137 часть 1 УК РФ,84,0,0,1,0,36,14,31,0
2016,137 ч.2,Статья 137 часть 2 УК РФ,1,0,0,0,0,0,0,0,0
2017,137 ч.2,Статья 137 часть 2 УК РФ,2,0,0,1,0,0,0,0,0
2016,137 ч.3,Статья 137 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2017,137 ч.3,Статья 137 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,138 ч.1,Статья 138 часть 1 УК РФ,24,0,0,0,0,16,1,3,0
2017,138 ч.1,Статья 138 часть 1 УК РФ,16,0,0,0,0,14,0,1,0
2016,138 ч.2,Статья 138 часть 2 УК РФ,18,0,0,3,0,5,0,5,0
2017,138 ч.2,Статья 138 часть 2 УК РФ,32,0,0,6,0,11,0,14,0
2016,138.1,Статья 138.1 УК РФ,228,1,3,33,14,151,0,0,0
2017,138.1,Статья 138.1 УК РФ,254,0,4,33,26,173,0,0,0
2016,139 ч.1,Статья 139 часть 1 УК РФ,6840,1,3,1,12,1497,2253,2645,0
2017,139 ч.1,Статья 139 часть 1 УК РФ,7277,3,6,0,10,1661,2361,2817,101
2016,139 ч.2,Статья 139 часть 2 УК РФ,302,1,46,58,4,67,96,6,0
2017,139 ч.2,Статья 139 часть 2 УК РФ,345,0,56,57,1,80,115,5,4
2016,139 ч.3,Статья 139 часть 3 УК РФ,2,0,0,0,0,0,0,0,0
2017,139 ч.3,Статья 139 часть 3 УК РФ,1,0,0,0,0,1,0,0,0
2016,140,Статья 140 УК РФ,0,0,0,0,0,0,0,0,0
2017,140,Статья 140 УК РФ,0,0,0,0,0,0,0,0,0
2016,141 ч.1,Статья 141 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,141 ч.1,Статья 141 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,141 ч.2,Статья 141 часть 2 УК РФ,5,2,0,1,0,0,0,2,0
2017,141 ч.2,Статья 141 часть 2 УК РФ,5,0,0,3,0,1,0,1,0
2016,141 ч.3,Статья 141 часть 3 УК РФ,1,0,0,0,0,1,0,0,0
2017,141 ч.3,Статья 141 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,141.1 ч.1,Статья 141.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,141.1 ч.1,Статья 141.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,141.1 ч.2,Статья 141.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,141.1 ч.2,Статья 141.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,142 ч.1,Статья 142 часть 1 УК РФ,5,0,0,0,0,3,0,0,0
2017,142 ч.1,Статья 142 часть 1 УК РФ,5,0,0,1,0,3,0,0,0
2016,142 ч.2,Статья 142 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,142 ч.2,Статья 142 часть 2 УК РФ,2,0,0,0,0,2,0,0,0
2016,142 ч.3,Статья 142 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2017,142 ч.3,Статья 142 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,142.1,Статья 142.1 УК РФ,10,0,0,4,0,5,0,0,0
2017,142.1,Статья 142.1 УК РФ,11,0,0,3,0,8,0,0,0
2016,143 ч.1,Статья 143 часть 1 УК РФ,59,0,0,0,0,33,11,7,0
2017,143 ч.1,Статья 143 часть 1 УК РФ,47,1,0,0,0,23,9,13,0
2016,143 ч.2,Статья 143 часть 2 УК РФ,68,1,3,55,2,0,1,0,0
2017,143 ч.2,Статья 143 часть 2 УК РФ,76,2,5,61,0,2,0,0,0
2016,143 ч.3,Статья 143 часть 3 УК РФ,7,0,0,7,0,0,0,0,0
2017,143 ч.3,Статья 143 часть 3 УК РФ,7,1,1,6,0,0,0,0,0
2016,144 ч.1,Статья 144 часть 1 УК РФ,1,0,0,0,0,1,0,0,0
2017,144 ч.1,Статья 144 часть 1 УК РФ,2,0,0,0,0,2,0,0,0
2016,144 ч.2,Статья 144 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,144 ч.2,Статья 144 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,144 ч.3,Статья 144 часть 3 УК РФ,3,0,0,3,0,0,0,0,0
2017,144 ч.3,Статья 144 часть 3 УК РФ,7,0,0,7,0,0,0,0,0
2016,145,Статья 145 УК РФ,1,0,0,0,0,0,0,1,0
2017,145,Статья 145 УК РФ,2,0,0,0,0,1,0,1,0
2016,145.1 ч.1,Статья 145.1 часть 1 УК РФ,32,0,0,0,0,19,0,1,0
2017,145.1 ч.1,Статья 145.1 часть 1 УК РФ,28,1,0,1,0,24,0,0,0
2016,145.1 ч.2,Статья 145.1 часть 2 УК РФ,193,0,0,4,0,135,0,0,0
2017,145.1 ч.2,Статья 145.1 часть 2 УК РФ,244,2,1,9,0,214,1,0,0
2016,145.1 ч.3,Статья 145.1 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2017,145.1 ч.3,Статья 145.1 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,146 ч.1,Статья 146 часть 1 УК РФ,1,0,0,0,0,0,0,0,0
2017,146 ч.1,Статья 146 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,146 ч.2,Статья 146 часть 2 УК РФ,269,0,2,5,1,154,18,45,0
2017,146 ч.2,Статья 146 часть 2 УК РФ,198,0,0,5,1,112,15,50,3
